campaign,ad_group,concept,asset_type,position,text,char_count,final_url,status,policy_status
CAREPA_SEARCH_ODONTOLOGIA_V1,Odontologo_Valoracion,A_INTENT,headline,1,Odontología en Carepa,21,https://www.dranatalyjimenez.com/c/valoracion?utm_source=google&utm_medium=cpc&utm_campaign=search_odontologo_valoracion_carepa&utm_content=rsa_a_intent,DRAFT,PASS
CAREPA_SEARCH_ODONTOLOGIA_V1,Odontologo_Valoracion,A_INTENT,headline,2,Dentista en Carepa,18,https://www.dranatalyjimenez.com/c/valoracion?utm_source=google&utm_medium=cpc&utm_campaign=search_odontologo_valoracion_carepa&utm_content=rsa_a_intent,DRAFT,PASS
CAREPA_SEARCH_ODONTOLOGIA_V1,Odontologo_Valoracion,A_INTENT,headline,3,Valoración Odontológica,23,https://www.dranatalyjimenez.com/c/valoracion?utm_source=google&utm_medium=cpc&utm_campaign=search_odontologo_valoracion_carepa&utm_content=rsa_a_intent,DRAFT,PASS
CAREPA_SEARCH_ODONTOLOGIA_V1,Odontologo_Valoracion,A_INTENT,headline,4,Consultorio Odontológico,24,https://www.dranatalyjimenez.com/c/valoracion?utm_source=google&utm_medium=cpc&utm_campaign=search_odontologo_valoracion_carepa&utm_content=rsa_a_intent,DRAFT,PASS
CAREPA_SEARCH_ODONTOLOGIA_V1,Odontologo_Valoracion,A_INTENT,headline,5,Dra. Nataly Jiménez,19,https://www.dranatalyjimenez.com/c/valoracion?utm_source=google&utm_medium=cpc&utm_campaign=search_odontologo_valoracion_carepa&utm_content=rsa_a_intent,DRAFT,PASS
CAREPA_SEARCH_ODONTOLOGIA_V1,Odontologo_Valoracion,A_INTENT,description,1,Atención odontológica en Carepa. Conoce el equipo y solicita orientación.,73,https://www.dranatalyjimenez.com/c/valoracion?utm_source=google&utm_medium=cpc&utm_campaign=search_odontologo_valoracion_carepa&utm_content=rsa_a_intent,DRAFT,PASS
CAREPA_SEARCH_ODONTOLOGIA_V1,Odontologo_Valoracion,A_INTENT,description,2,La valoración permite entender cada caso antes de definir opciones de cuidado.,78,https://www.dranatalyjimenez.com/c/valoracion?utm_source=google&utm_medium=cpc&utm_campaign=search_odontologo_valoracion_carepa&utm_content=rsa_a_intent,DRAFT,PASS
CAREPA_SEARCH_ODONTOLOGIA_V1,Odontologo_Valoracion,B_CLARITY,headline,1,Conoce Cómo Empezar,19,https://www.dranatalyjimenez.com/c/valoracion?utm_source=google&utm_medium=cpc&utm_campaign=search_odontologo_valoracion_carepa&utm_content=rsa_b_clarity,DRAFT,PASS
CAREPA_SEARCH_ODONTOLOGIA_V1,Odontologo_Valoracion,B_CLARITY,headline,2,Atención Clara y Cercana,24,https://www.dranatalyjimenez.com/c/valoracion?utm_source=google&utm_medium=cpc&utm_campaign=search_odontologo_valoracion_carepa&utm_content=rsa_b_clarity,DRAFT,PASS
CAREPA_SEARCH_ODONTOLOGIA_V1,Odontologo_Valoracion,B_CLARITY,headline,3,Primero Valorar y Orientar,26,https://www.dranatalyjimenez.com/c/valoracion?utm_source=google&utm_medium=cpc&utm_campaign=search_odontologo_valoracion_carepa&utm_content=rsa_b_clarity,DRAFT,PASS
